order_id,order_date,customer_id,city,product_name,product_category,quantity,payment_type,amount,cost_price,shipping_cost,customer_type,phone_verified,email_verified,address_complete,distance_km,previous_orders,previous_returns,order_hour,coupon_used,account_age_days,current_stock,avg_daily_sales,status,is_risky
ORD-100001,2026-06-16,CUST-9928,Rangpur,Sunglasses,Accessories,1,COD,1609,870,167,Returning,Yes,Yes,Yes,33,22,2,2,Yes,1034,25,12,Returned,1
ORD-100002,2026-04-28,CUST-9785,Chattogram,Jeans,Clothing,3,COD,8514,5090,241,New,Yes,No,Yes,91,0,0,12,Yes,54,103,1,Success,0
ORD-100003,2026-02-11,CUST-7065,Barishal,Phone Cover,Accessories,1,COD,795,392,228,New,Yes,No,No,75,0,0,7,No,24,106,6,Failed,1
ORD-100004,2026-01-09,CUST-6168,Rangpur,Skin Care Kit,Cosmetics,2,Prepaid,5138,3193,288,New,Yes,No,Yes,70,0,0,17,Yes,20,7,4,Failed,1
ORD-100005,2026-02-05,CUST-9348,Mymensingh,Perfume,Cosmetics,3,COD,7500,4504,309,Returning,Yes,Yes,Yes,85,21,1,8,No,877,46,4,Failed,1
ORD-100006,2026-06-14,CUST-6573,Chattogram,Panjabi,Clothing,1,COD,2960,1858,275,New,No,Yes,No,78,0,0,0,No,7,96,5,Failed,1
ORD-100007,2026-01-01,CUST-6310,Mymensingh,T-Shirt,Clothing,4,Prepaid,4904,2817,248,Returning,Yes,Yes,Yes,66,4,3,4,Yes,330,118,9,Returned,1
ORD-100008,2026-06-05,CUST-7932,Rajshahi,Skin Care Kit,Cosmetics,5,COD,12998,8011,94,Returning,Yes,Yes,Yes,9,3,0,4,Yes,973,33,9,Success,0
ORD-100009,2026-06-11,CUST-1964,Rajshahi,Jeans,Clothing,2,Prepaid,5571,3429,175,Returning,Yes,Yes,Yes,53,15,4,0,No,471,9,12,Failed,1
ORD-100010,2026-04-30,CUST-1887,Narayanganj,Smart Watch,Electronics,1,COD,6480,4721,281,Returning,Yes,Yes,Yes,87,24,5,13,Yes,198,54,7,Success,0
ORD-100011,2026-01-26,CUST-1828,Narayanganj,Sunglasses,Accessories,1,Prepaid,1523,886,367,New,Yes,Yes,Yes,104,0,0,8,No,55,103,9,Success,0
ORD-100012,2026-03-17,CUST-4566,Dhaka,Handbag,Fashion,1,COD,3443,2310,143,Returning,Yes,Yes,Yes,23,13,4,14,Yes,1138,19,4,Success,0
ORD-100013,2026-03-05,CUST-1651,Gazipur,Cosmetics Set,Cosmetics,1,COD,2200,1364,135,Returning,No,Yes,Yes,8,17,0,19,Yes,481,113,10,Returned,1
ORD-100014,2026-01-26,CUST-2200,Cumilla,Perfume,Cosmetics,1,Prepaid,2486,1502,211,New,Yes,Yes,Yes,87,0,0,10,No,59,79,10,Failed,1
ORD-100015,2026-01-27,CUST-3200,Khulna,Skin Care Kit,Cosmetics,1,COD,2537,1612,202,New,Yes,Yes,No,49,0,0,20,No,42,119,11,Failed,1
ORD-100016,2026-06-13,CUST-5291,Sylhet,Cosmetics Set,Cosmetics,1,COD,2192,1403,208,Returning,Yes,No,Yes,93,9,1,20,No,566,98,3,Success,0
ORD-100017,2026-04-02,CUST-4441,Narayanganj,Cosmetics Set,Cosmetics,2,COD,4463,2752,152,Returning,No,Yes,Yes,16,5,1,4,Yes,746,110,1,Failed,1
ORD-100018,2026-04-08,CUST-1634,Cox's Bazar,Jeans,Clothing,1,Prepaid,2824,1689,314,Returning,Yes,No,Yes,120,6,4,13,No,508,89,2,Success,0
